step,infected_sensitive_status,susceptible_status,infected_resistant_status,recoveries_r_status,recoveries_s_status,carrier_is_status,carrier_ir_status,treatments_treatment,finished_treatment,post_treatment_treatment
441,9,36,10,1,2,0,1,0,21,21
442,9,36,10,1,2,0,1,0,21,21
443,9,36,10,1,2,0,1,0,21,21
444,9,36,9,2,2,0,1,0,21,21
445,9,36,9,2,2,0,1,0,21,21
446,9,36,9,2,2,0,1,0,21,21
447,9,36,9,2,2,0,1,0,21,21
448,9,36,9,2,2,0,1,0,21,21
449,9,36,9,2,2,0,1,0,21,21
450,9,36,9,2,2,0,1,0,21,21
451,9,36,9,2,2,0,1,0,21,21
452,9,36,9,2,2,0,1,0,21,21
453,9,36,9,2,2,0,1,0,21,21
454,9,35,10,2,2,0,1,0,21,21
455,9,35,10,2,2,0,1,0,21,21
456,9,35,10,2,2,0,1,0,21,21
457,9,35,10,2,2,0,1,0,21,21
458,9,35,10,2,2,0,1,0,21,21
459,9,35,10,2,2,0,1,0,21,21
460,9,34,11,2,2,0,1,0,21,21
461,9,34,11,2,2,0,1,0,21,21
462,9,34,11,2,2,0,1,0,21,21
463,9,34,11,2,2,0,1,0,21,21
464,9,34,11,2,2,0,1,0,21,21
465,9,34,11,2,2,0,1,0,21,21
466,9,34,11,2,2,0,1,0,21,21
467,9,34,11,2,2,0,1,0,21,21
468,9,34,11,2,2,0,1,0,21,21
469,9,34,11,2,2,0,1,0,21,21
470,9,34,10,3,2,0,1,0,21,21
471,9,34,10,3,2,0,1,0,21,21
472,9,34,10,3,2,0,1,0,21,21
473,9,34,10,3,2,0,1,0,21,21
474,9,34,10,3,2,0,1,0,21,21
475,9,34,10,3,2,0,1,0,21,21
476,9,34,10,3,2,0,1,0,21,21
477,9,34,10,3,2,0,1,0,21,21
478,9,34,10,3,2,0,1,0,21,21
479,9,34,10,3,2,0,1,0,21,21
480,9,34,10,3,2,0,1,0,21,21
481,9,34,10,3,2,0,1,0,21,21
482,9,34,10,3,2,0,1,0,21,21
483,9,34,10,3,2,0,1,1,21,21
484,9,34,10,3,2,0,1,1,21,21
485,9,34,10,3,2,0,1,1,21,21
486,9,34,10,3,2,0,1,1,21,21
487,9,34,10,3,2,0,1,1,21,21
488,9,34,10,3,2,0,1,0,22,22
489,9,34,10,3,2,0,1,0,22,22
490,9,34,10,3,2,0,1,0,22,22
491,9,34,10,3,2,0,1,0,22,22
492,9,34,10,3,2,0,1,0,22,22
493,9,34,10,3,2,0,1,0,22,22
494,9,34,10,3,2,0,1,0,22,22
495,9,34,10,2,2,0,2,0,22,22
496,9,34,10,2,2,0,2,0,22,22
497,9,34,10,2,2,0,2,0,22,22
498,9,34,10,2,2,0,2,0,22,22
499,9,34,10,2,2,0,2,0,22,22
500,9,34,10,2,2,0,2,0,22,22
501,9,34,10,2,2,0,2,0,22,22
502,9,34,10,2,2,0,2,0,22,22
503,9,34,10,2,2,0,2,0,22,22
504,8,34,10,2,3,0,2,0,22,22
505,8,34,10,2,3,0,2,0,22,22
506,8,34,10,2,3,0,2,0,22,22
507,8,34,10,2,3,0,2,0,22,22
508,8,34,10,2,3,0,2,0,22,22
509,8,34,10,2,3,0,2,0,22,22
510,8,34,10,2,3,0,2,0,22,22
511,8,34,10,2,3,0,2,0,22,22
512,8,34,10,2,3,0,2,0,22,22
513,8,34,10,2,3,0,2,0,22,22
514,8,34,10,2,3,0,2,0,22,22
515,8,34,10,2,3,0,2,0,22,22
516,8,34,10,2,3,0,2,0,22,22
517,8,34,10,2,3,0,2,0,22,22
518,8,34,10,2,3,0,2,0,22,22
519,8,34,10,2,3,0,2,0,22,22
520,8,34,10,2,3,0,2,0,22,22
521,8,33,11,2,3,0,2,0,22,22
522,8,33,11,2,2,0,3,0,22,22
523,8,32,12,2,2,0,3,0,22,22
524,8,32,12,2,2,0,3,0,22,22
525,8,32,12,2,2,0,3,0,22,22
526,8,32,12,2,2,0,3,0,22,22
527,8,32,12,2,2,0,3,0,22,22
528,8,32,12,2,2,0,3,0,22,22
529,8,32,12,2,2,0,3,0,22,22
530,8,32,12,2,2,0,3,0,22,22
531,8,32,12,2,2,0,3,0,22,22
532,8,32,12,2,2,0,3,0,22,22
533,8,32,12,2,2,0,3,0,22,22
534,8,32,12,2,2,0,3,0,22,22
535,8,32,12,2,2,0,3,0,22,22
536,8,32,12,2,2,0,3,0,22,22
537,8,32,12,2,2,0,3,0,22,22
538,8,32,12,2,2,0,3,0,22,22
539,8,32,12,2,2,0,3,0,22,22
540,8,32,12,2,2,0,3,1,22,22
541,8,32,12,2,2,0,3,2,22,22
542,8,32,12,2,2,0,3,2,22,22
543,8,32,12,2,2,0,3,2,22,22
544,8,32,11,2,2,0,3,1,22,22
545,8,32,11,2,2,0,3,1,22,22
546,8,31,12,2,2,0,3,0,23,23
